 by Role ,按角色
 is not set,没有设置
"""Company History""",“公司历史”
"""Team Members"" or ""Management""",“团队成员”或“管理”
'In List View' not allowed for type {0} in row {1},“在列表视图中”不允许类型{0}行{1}
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - 草案; 1 - 呈交; 2 - 取消
0 is highest,0是最高的
"000 is black, fff is white",000是黑色的，FFF是白色的
2 days ago,3天前
"<a href=""https://en.wikipedia.org/wiki/Transport_Layer_Security"" target=""_blank"">[?]</a>","<a href=""https://en.wikipedia.org/wiki/Transport_Layer_Security"" target=""_blank"">[？]</a>"
"<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">Naming Options</a>",<一的onclick =“msgprint（'<OL> \ <LI> <B>场：[字段名] </ B> - 按字段\ <LI> <B> naming_series：</ B > - 通过命名系列（场称为naming_series必须存在\ <LI> <B>提示</ B> - 提示用户输入一个名字\ <LI> <B> [系列] </ ，B> - 系列由前缀（由点号分隔），例如PRE＃＃＃＃＃\ </ OL>'）“>命名选项</ a>
<b>new</b> <i>type of document</i>,<B>新</ B> <I>类型的文件</ I>
"<i>document type...</i>, e.g. <b>customer</b>",<I>文档类型... </ I>，如<B>客户</ B>
<i>e.g. <strong>(55 + 434) / 4</strong> or <strong>=Math.sin(Math.PI/2)</strong>...</i>,<I>如<STRONG>（55 + 434）/ 4 </ strong>或<STRONG> =数学。黄大仙（公式PI / 2）</ STRONG> ... </ I>
<i>module name...</i>,<I>模块名称... </ I>
<i>text</i> <b>in</b> <i>document type</i>,<I>文字</ I>（B）在</ B> <I>文档类型</ I>
A user can be permitted to multiple records of the same DocType.,用户可以被授权到同一的DocType的多个记录。
About,关于
About Us Settings,关于我们设置
About Us Team Member,关于我们团队成员
Action,行动
Actions,操作
"Actions for workflow (e.g. Approve, Cancel).",对工作流操作（例如审批，取消） 。
Add,加
Add A New Rule,添加新的规则
Add A User Permission,添加一个用户权限
Add Attachments,添加附件
Add Bookmark,添加书签
Add CSS,添加CSS
Add Column,添加列
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,添加谷歌Analytics（分析）ID：例如。 UA-89XXX57-1。请搜索在谷歌Analytics（分析）帮助以获取更多信息。
Add Message,发表留言
Add New Permission Rule,添加新的权限规则
Add Reply,添加回复
Add Total Row,添加总计行
Add a New Role,添加新角色
Add a banner to the site. (small banners are usually good),添加一个横幅挂在了网站上。 （小横幅通常是很好的）
Add all roles,添加的所有角色
Add attachment,添加附件
Add code as &lt;script&gt;,添加代码为&lt;SCRIPT&gt;
Add custom javascript to forms.,添加自定义的Java Script才能形成。
Add fields to forms.,将字段添加到窗体。
Add multiple rows,添加多行
Add new row,添加新行
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","新增的名称<a href=""http://google.com/webfonts"" target=""_blank"">谷歌网页字体</a> ，例如“开放三世”"
Add to To Do,添加到待办事项
Add to To Do List Of,添加到待办事项列表
Added {0} ({1}),添加{0}（{1}）
Adding System Manager to this User as there must be atleast one System Manager,添加系统管理员给此用户的，必须有ATLEAST 1系统管理
Additional Info,附加信息
Additional Permissions,额外的权限
Address,地址
Address Line 1,地址行1
Address Line 2,地址行2
Address Title,地址名称
Address and other legal information you may want to put in the footer.,地址和其他法律信息，你可能要放在页脚。
Admin,管理员
All Applications,所有应用
All Day,全日
All customizations will be removed. Please confirm.,所有自定义都将被删除。请证实。
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""",所有可能的工作流程状态和工作流的角色。 <br> Docstatus选项：0是“保存”，1“已提交”和2“取消”
Allow Attach,允许连接
Allow Import,允许进口
Allow Import via Data Import Tool,允许通过数据导入工具导入
Allow Rename,允许重新命名
Allow on Submit,允许在提交
Allow user to login only after this hour (0-24),允许用户仅这一小时后登陆（0-24）
Allow user to login only before this hour (0-24),允许用户仅在此之前登录小时（0-24）
Allowed,宠物
"Allowing DocType, DocType. Be careful!",允许的DOCTYPE，的DocType 。要小心！
Already Registered,已注册
Already in user's To Do list,已经在用户的To Do列表
Alternative download link,另类下载链接
"Alternatively, you can also specify 'auto_email_id' in site_config.json",另外，您还可以在site_config.json指定' auto_email_id “
Always use above Login Id as sender,请务必使用上述登录ID作为发件人
Amend,修改
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","一个图标文件，扩展名为。ico。应该是16×16像素。使用的favicon生成器生成。 [ <a href=""http://favicon-generator.org/"" target=""_blank"">网站图标- generator.org</a> ]"
"Another {0} with name {1} exists, select another name",另一{0}名{1}存在，选择另一个名字
Any existing permission will be deleted / overwritten.,任何现有的权限将被删除/覆盖。
Anyone Can Read,任何人都可以阅读
Anyone Can Write,任何人都可以写
"Apart from Role based Permission Rules, you can apply User Permissions based on DocTypes.",除了基于角色的权限规则，您可以根据文档类型应用的用户权限。
"Apart from System Manager, roles with 'Set User Permissions' right can set permissions for other users for that Document Type.",除了系统管理器，用'设置用户权限“正确的角色可以设置权限的其他用户的文件类型。
App Name,应用程序名称
App not found,应用程序未找到
Application Installer,应用程序安装器
Applications,应用
Apply Style,应用样式
Apply User Permissions,申请用户权限
Are you sure you want to delete the attachment?,您确定要删除的附件？
Arial,宋体
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",作为最佳实践，不分配相同的一组权限的规则不同角色。相反，设置多个角色，以相同的用户。
Ascending,升序
Assign To,分配给
Assigned By,通过分配
Assigned To,分配给
Assigned To Fullname,分配给全名
Assigned To/Owner,分配给/所有者
Assignment Added,分配上架
Assignment Status Changed,任务状态改变
Assignments,作业
Attach,附
Attach Document Print,附加文档打印
Attach as web link,附加为网站链接
Attached To DocType,附着的DocType
Attached To Name,单身者姓名
Attachments,附件
Auto Email Id,自动电子邮件Id
Auto Name,自动名称
Auto generated,自动生成
Avatar,阿凡达
Back to Login,返回登录
Background Color,背景颜色
Background Image,背景图片
Background Style,背景样式
Banner,旗帜
Banner HTML,横幅的HTML
Banner Image,横幅图片
Banner is above the Top Menu Bar.,旗帜就是上面的顶部菜单栏。
Begin this page with a slideshow of images,开始这个页面图像的幻灯片
Beginning with,开头
Belongs to,属于
Bio,生物
Birth Date,出生日期
Blog Category,博客分类
Blog Intro,博客介绍
Blog Introduction,博客简介
Blog Post,博客公告
Blog Settings,博客设置
Blog Title,博客标题
Blogger,博客
Bookmarks,书签
Both login and password required,既需要登录名和密码
Brand HTML,品牌的HTML
Bulk Email,大量电子邮件
Bulk email limit {0} crossed,群发电子邮件的限制{0}划线
Button,钮
By,通过
Calculate,计算
Calendar,日历
Cancel,取消
Cancelled,注销
"Cannot Edit {0} directly: To edit {0} properties, create / update {1}, {2} and {3}",不能编辑{0}直接：编辑{0}属性，创建/更新{1} ， {2}和{3}
Cannot Update: Incorrect / Expired Link.,无法更新：不正确的/过期的链接。
Cannot Update: Incorrect Password,无法更新：不正确的密码
Cannot add more than 50 comments,无法添加超过50评论
Cannot cancel before submitting. See Transition {0},可以在提交之前不会取消。
Cannot change picture,不能改变图片
Cannot change state of Cancelled Document. Transition row {0},不能改变注销文件的状态。
Cannot change {0},不能改变{0}
Cannot delete or cancel because {0} {1} is linked with {2} {3},不能删除或取消，因为{0} {1}与联{2} {3}
Cannot delete {0} as it has child nodes,无法删除{0} ，因为它有子节点
Cannot edit standard fields,不能编辑标准字段
Cannot map because following condition fails: ,无法对应，因为以下条件失败：
Cannot open instance when its {0} is open,无法打开实例时，它的{0}是开放的
Cannot open {0} when its instance is open,无法打开{0} ，当它的实例是开放的
Cannot print cancelled documents,无法打印的文档取消
Cannot remove permission for DocType: {0} and Name: {1},无法删除权限的DocType ： {0}和名称： {1}
Cannot reply to a reply,无法回复回复
Cannot set Email Alert on Document Type {0},无法设置电子邮件警报的文件类型{0}
Cannot set permission for DocType: {0} and Name: {1},无法设置权限的DocType ： {0}和名称： {1}
Categorize blog posts.,分类博客文章。
Category,类别
Category Name,分类名称
Center,中心
"Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.",某些文件，如发票，不应更改一次决赛。对这些文件的最后状态被称为提交。您可以限制哪些角色可以提交。
"Change field properties (hide, readonly, permission etc.)",更改字段属性（隐藏，只读权限等）
Chat,聊天
Check,查
Check / Uncheck roles assigned to the User. Click on the Role to find out what permissions that Role has.,查看/取消选中分配给个人的角色。点击角色，找出哪些权限的角色了。
Check this if you want to send emails as this id only (in case of restriction by your email provider).,如果您要发送的邮件，因为这ID只（如果限制您的电子邮件提供商）进行检查。
Check this to make this the default letter head in all prints,勾选这个来让这个默认的信头中的所有打印
Check which Documents are readable by a User,检查哪些文件是可读的用户
Checked items shown on desktop,在桌面上显示检查的项目
Child Tables are shown as a Grid in other DocTypes.,子表中显示为其他文档类型的Grid。
City,城市
Classic,经典
Clear Cache,清除缓存
Clear all roles,清除所有角色
Click on a link to get options,点击一个链接以获取选项
Click on row to view / edit.,点击一行，查看/编辑。
Client,客户
Client-side formats are now deprecated,客户端的格式现在已经过时
Close,关闭
Close: {0},关闭： {0}
Closed,关闭
Code,码
Collapse,崩溃
Column Break,分栏符
Comment,评论
Comment By,评论人
Comment By Fullname,评论人全名
Comment Date,评论日期
Comment Docname,可采用DocName评论
Comment Doctype,注释文档类型
Comment Time,评论时间
Comments,评论
Communication,通讯
Communication Medium,通信介质
Company History,公司历史
Company Introduction,公司简介
Complaint,抱怨
Complete By,完成
Condition,条件
Contact Us Settings,联系我们设置
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.",联系人选项，如“销售查询，支持查询”等每一个新行或以逗号分隔。
Content,内容
Content Hash,内容哈希
Content in markdown format that appears on the main side of your page,在降价格式的内容，在页面的主侧出现
Content web page.,内容的网页。
Controller,调节器
Copy,复制
Copyright,版权
Core,核心
Could not connect to outgoing email server,无法连接到外发邮件服务器
Could not find {0},找不到{0}
Count,算
Country,国家
Create,创建
Create a new {0},创建一个新的{0}
Created Custom Field {0} in {1},创建自定义字段{0} {1}
Created Customer Issue,创建客户问题
Created Opportunity,创造机会
Created Support Ticket,创建支持票
Creation / Modified By,创建/修改者
Currency,货币
Current status,现状
Custom CSS,自定义CSS
Custom Field,自定义字段
Custom Javascript,自定义JavaScript
Custom Reports,自定义报告
Custom Script,自定义脚本
Custom?,自定义？
Customize,定制
Customize Form,自定义表单
Customize Form Field,自定义表单域
"Customize Label, Print Hide, Default etc.",自定义标签，打印隐藏，默认值等。
Customized HTML Templates for printing transctions.,自定义的HTML模板印刷transctions 。
Daily Event Digest is sent for Calendar Events where reminders are set.,每日赛事精华被送往何处​​提醒设置日历事件。
Danger,危险
Data,数据
Data Import / Export Tool,数据导入/导出工具
Data Import Tool,数据导入工具
Data missing in table,在表中的数据丢失
Date,日期
Date Change,日期变更
Date Changed,更改日期
Date Format,日期格式
Date and Number Format,日期和数字格式
Date must be in format: {0},日期格式必须是： {0}
Datetime,日期时间
Days in Advance,提前天
Dear,亲爱
Default,默认
Default Print Format,默认打印格式
Default Value,默认值
Default is system timezone,默认为系统时区
"Default: ""Contact Us""",默认：“联系我们”
DefaultValue,默认值
Defaults,默认
"Define read, write, admin permissions for a Website Page.",定义读，写，对于一个网站页面的管理权限。
Define workflows for forms.,定义工作流表单。
Delete,删除
Delete Row,删除行
Depends On,取决于
Descending,降
Description,描述
Description and Status,描述和状态
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)",说明列表页面，在纯文本中，只有几行。 （最多140个字符）
Description for page header.,描述页面标题。
Desktop,桌面
Details,详细信息
Did not add,没有添加
Did not cancel,没有取消
Did not find {0} for {0} ({1}),没有找到{0} {0} （ {1} ）
Did not load,没有加载
Did not remove,没有删除
Did not save,没救了
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.",不同的“国家”这个文件可以存在。像“打开”，“待批准”等。
Disable Customer Signup link in Login page,禁止在登录页面客户注册链接
Disable Signup,禁止注册
Disabled,残
Display,显示
Display Settings,显示设置
