A4,A4 ප්රමාණයේ,
API Endpoint,API අවසානය,
API Key,API යතුර,
Access Token,ටෝකනය,
Account,ගිණුම,
Accounts Manager,ගිණුම් කළමනාකරු,
Accounts User,ගිණුම් පරිශීලක,
Action,කටයුතු,
Actions,ක්රියා,
Active,ක්රියාකාරී,
Add,එක් කරන්න,
Add Comment,පරිකථනය එකතු කරන්න,
Add Row,ෙරෝ එකතු කරන්න,
Address,ලිපිනය,
Address Line 2,ලිපින පේළිය 2,
Address Title,ලිපිනය හිමිකම්,
Address Type,ලිපිනය වර්ගය,
Administrator,පරිපාලක,
All Day,සියලු දිනය,
Allow Delete,මකන්න ඉඩ දෙන්න,
Amended From,සංශෝධිත වන සිට,
Amount,ප්රමාණය,
Applicable For,සඳහා අදාළ,
Approval Status,පතේ තත්වය,
Assign,අනුයුක්ත,
Assign To,කිරීම සඳහා අනුයුක්ත,
Attachment,ඇමුණුම්,
Attachments,ඇමුණුම්,
Author,කර්තෘ,
Auto Repeat,මෝටර් රථය නැවත නැවතත්,
Base URL,මූලික URL,
Based On,මත පදනම්ව,
Beginner,ආධුනිකයා,
Billing,බිල්පත්,
Cancel,අවලංගු කරන්න,
Category,වර්ගය,
Category Name,ප්රවර්ගය නම,
City,නගරය,
City/Town,නගරය / නගරය,
Client,සේවාලාභියා,
Client ID,සේවාලාභී ID,
Client Secret,සේවාදායක රහස,
Closed,වසා,
Code,කේතය,
Collapse All,සියල්ල හකුලන්න,
Color,වර්ණ,
Company Name,සමාගම් නාමය,
Condition,තත්වය,
Contact,අමතන්න,
Contact Details,ඇමතුම් විස්තර,
Content,අන්තර්ගත,
Content Type,අන්තර්ගතයේ වර්ගය,
Create,නිර්මාණය,
Created By,නිර්මාණය කළේ,
Current,දැනට,
Custom HTML,රේගු HTML,
Custom?,රේගු?,
Date Format,දිනය ආකෘතිය,
Datetime,දිනය වේලාව,
Day,දවස,
Default Letter Head,පෙරනිමි ලිපි ශීර්ෂයක,
Defaults,පෙරනිමි,
Delivery Status,භාරදීම් තත්ත්ව,
Department,ෙදපාර්තෙම්න්තුෙව්,
Details,විස්තර,
Document Name,ලේඛන නම,
Document Status,ලේඛන තත්ත්වය,
Document Type,ලේඛන වර්ගය,
Domain,වසම්,
Domains,වසම්,
Draft,කෙටුම්පත,
Edit,සංස්කරණය කරන්න,
Email Account,ඊ-තැපැල් ගිණුම,
Email Address,විද්යුත් තැපැල් ලිපිනය,
Email ID,ඊමේල් හැඳුනුම්පත,
Email Sent,ඊ-තැපැල් යවනු,
Email Template,ඊමේල් සැකිල්ල,
Enable,සක්රිය කරන්න,
Enabled,සක්රීය,
End Date,අවසාන දිනය,
Error Code: {0},දෝෂ කේතය: {0},
Error Log,දෝෂ ලොග්,
Event,උත්සවය,
Expand All,සියල්ල විහිදුවන්න,
Fail,අසමත් විය,
Failed,අසමත්,
Fax,ෆැක්ස්,
Feedback,ඔබෙන් ලැබෙන ප්රයෝජනාත්මක ප්රතිචාරය,
Female,කාන්තා,
Field Name,ක්ෂේත්ර නාමය,
Fieldname,ක්ෂේත්ර නාමය,
Fields,ක්ෂේත්ර,
First Name,මුල් නම,
Frequency,සංඛ්යාත,
Friday,සිකුරාදා,
From,සිට,
Full,පූර්ණ,
Full Name,සම්පූර්ණ නම,
Further nodes can be only created under 'Group' type nodes,තවදුරටත් මංසල පමණි &#39;සමූහය වර්ගය මංසල යටතේ නිර්මාණය කිරීම ද කළ හැක,
Gender,ස්ත්රී පුරුෂ භාවය,
GitHub Sync ID,GitHub Sync ID,
Guest,අමුත්තන්ගේ,
Half Day,අර්ධ දින,
Half Yearly,අර්ධ වාර්ෂිකව,
High,අධි,
Hourly,පැය,
Hub Sync ID,Hub Sync ID,
IP Address,IP ලිපිනය,
Image,රූප,
Image View,රූප දැක්ම,
Import Data,ආනයන දත්ත,
Import Log,ආනයන ලොග්,
Inactive,අක්රියයි,
Insert,ඇතුළු කරන්න,
Interests,උනන්දුව දක්වන ක්ෂෙත්ර:,
Introduction,හැදින්වීම,
Is Active,ක්රියාකාරී වේ,
Is Completed,අවසන් වේ,
Is Default,පෙරනිමි වේ,
Kanban Board,Kanban මණ්ඩලය,
Label,ලේබලය,
Language Name,භාෂා නම,
Last Name,අවසන් නම,
Leaderboard,ප්රමුඛ,
Letter Head,ලිපි ශීර්ෂයක,
Level,මට්ටමින්,
Limit,සීමාව,
Log,ලඝු,
Logs,සටහන්,
Low,අඩු,
Maintenance Manager,නඩත්තු කළමනාකරු,
Maintenance User,නඩත්තු පරිශීලක,
Male,පිරිමි,
Mandatory,අනිවාර්ය,
Mapping,සිතියම්කරණය,
Mapping Type,සිතියම්කරණ වර්ගය,
Medium,මධ්යම,
Meeting,රැස්වීම,
Message Examples,පණිවුඩය උදාහරණ,
Method,ක්රමය,
Middle Name,මැද නම,
Middle Name (Optional),මැද නම (විකල්ප),
Monday,සදුදා,
Monthly,මාසික,
More,තව,
More Information,වැඩිදුර තොරතුරු,
