A4,A4 ಕಾರು,
API Endpoint,API ಎಂಡ್ಪೋಯಿಂಟ್,
API Key,API ಕೀ,
Access Token,ಪ್ರವೇಶ ಟೋಕನ್,
Account,ಖಾತೆ,
Accounts Manager,ಖಾತೆಗಳು ಮ್ಯಾನೇಜರ್,
Accounts User,ಬಳಕೆದಾರ ಖಾತೆಗಳು,
Action,ಕ್ರಿಯೆ,
Actions,ಕ್ರಿಯೆಗಳು,
Active,ಕ್ರಿಯಾಶೀಲ,
Add,ಸೇರಿಸು,
Add Comment,ಕಾಮೆಂಟ್ ಸೇರಿಸಿ,
Add Row,ರೋ ಸೇರಿಸಿ,
Address,ವಿಳಾಸ,
Address Line 2,ಲೈನ್ 2 ವಿಳಾಸ,
Address Title,ವಿಳಾಸ ಶೀರ್ಷಿಕೆ,
Address Type,ವಿಳಾಸ ಪ್ರಕಾರ,
Administrator,ನಿರ್ವಾಹಕ,
All Day,ಎಲ್ಲಾ ದಿನ,
Allow Delete,ಅಳಿಸಿ ಅವಕಾಶ,
Amended From,ಗೆ ತಿದ್ದುಪಡಿ,
Amount,ಪ್ರಮಾಣ,
Applicable For,ಜ,
Approval Status,ಅನುಮೋದನೆ ಸ್ಥಿತಿ,
Assign,ನಿಗದಿಪಡಿಸಿ,
Assign To,ನಿಗದಿ,
Attachment,ಲಗತ್ತು,
Attachments,ಲಗತ್ತುಗಳು,
Author,ಲೇಖಕ,
Auto Repeat,ಆಟೋ ಪುನರಾವರ್ತನೆ,
Base URL,ಮೂಲ URL,
Based On,ಆಧರಿಸಿದೆ,
Beginner,ಬಿಗಿನರ್ಸ್,
Billing,ಬಿಲ್ಲಿಂಗ್,
Cancel,ರದ್ದು,
Category,ವರ್ಗ,
Category Name,ವರ್ಗ ಹೆಸರು,
City,ನಗರ,
City/Town,ನಗರ / ಪಟ್ಟಣ,
Client,ಕಕ್ಷಿಗಾರ,
Client ID,ಕ್ಲೈಂಟ್ ID,
Client Secret,ಕ್ಲೈಂಟ್ ರಹಸ್ಯ,
Closed,ಮುಚ್ಚಲಾಗಿದೆ,
Code,ಕೋಡ್,
Collapse All,ಎಲ್ಲವನ್ನೂ ಸಂಕುಚಿಸಿ,
Color,ಬಣ್ಣ,
Company Name,ಕಂಪನಿ ಹೆಸರು,
Condition,ಪರಿಸ್ಥಿತಿ,
Contact,ಸಂಪರ್ಕಿಸಿ,
